SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,203933,0022301152,"APR 09, 2024",MIN vs. WAS,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,1
22023,203933,0022301125,"APR 05, 2024",MIN @ PHX,L,4,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,0,4,12,1
22023,203933,0022301108,"APR 03, 2024",MIN vs. TOR,W,14,3,5,0.6,0,2,0.0,2,2,1.0,0,4,4,0,0,0,0,0,8,22,1
22023,203933,0022301056,"MAR 27, 2024",MIN vs. DET,W,7,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-8,1
22023,203933,0022300995,"MAR 19, 2024",MIN vs. DEN,L,9,2,5,0.4,1,2,0.5,1,2,0.5,1,1,2,0,0,1,0,0,6,0,1
22023,203933,0022300987,"MAR 18, 2024",MIN @ UTA,W,9,1,3,0.333,0,1,0.0,0,0,0.0,1,1,2,2,1,0,1,0,2,-2,1
22023,203933,0022300974,"MAR 16, 2024",MIN @ UTA,W,16,1,7,0.143,0,1,0.0,0,0,0.0,1,3,4,2,1,0,0,2,2,2,1
22023,203933,0022300944,"MAR 12, 2024",MIN @ LAC,W,14,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,1,0,0,1,2,2,9,1
22023,203933,0022300932,"MAR 10, 2024",MIN @ LAL,L,23,2,7,0.286,0,2,0.0,0,0,0.0,1,2,3,2,1,0,1,2,4,4,1
22023,203933,0022300911,"MAR 08, 2024",MIN @ CLE,L,11,3,3,1.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,1,3,6,15,1
22023,203933,0022300903,"MAR 07, 2024",MIN @ IND,W,16,3,5,0.6,1,3,0.333,0,0,0.0,0,1,1,0,0,0,0,1,7,3,1
